name,description,url,type
Abu Dhabi (FSRA),"Guidance: Regulation of Initial Coin/Token Offerings and Virtual Currencies
under the Financial Services and Markets Regulations -",https://www.adgm.com/-/media/project/adgm/legal-framework/documents/guidance-and-policy/guidance-for-applicants/fsra-guidance/guidance-icos-and-crypto-assets_20180625_v11.pdf,statement/actions
Andorra (INAF),Statement on ICOs,https://www.iosco.org/library/ico-statements/Andorra%20-%20INAF%20- %20Statement%20on%20Initial%20Coin%20Offerings.pdf,statement/actions
Argentina (CNV),Alert Regarding ICOs,https://www.cnv.gov.ar/SitioWeb/Prensa/Post/1204/1204-alerta-al-publico- inversor-sobre-ofertas-iniciales-de-monedas-virtuales-o-tokens,statement/actions
Argentina (CNV),Warning Regarding ICOs,https://www.iosco.org/library/ico-statements/Argentina%20-%20CNV%20- %20Oferta%20Inicial%20de%20Monedas%20Virtuales%20o%20Tokens.pdf,statement/actions
Australia (ASIC),Warning: Initial coin offerings (ICOs) ,https://www.moneysmart.gov.au/investing/investment-warnings/initial-coin- offerings-icos ,statement/actions
Australia (ASIC),Information Sheet: Initial coin offerings and crypto-assets,https://asic.gov.au/regulatory-resources/digital-transformation/initial-coin- offerings-and-crypto-assets/ ,statement/actions
Australia (ASIC),Issues Paper: Initial Coin Offerings (The Treasury),https://treasury.gov.au/sites/default/files/2019-03/c2019-t353604- Issues_Paper-1.pdf ,statement/actions
Australia (ASIC),Media Release: ASIC takes action on misleading or deceptive conduct in ICOs,https://www.asic.gov.au/about-asic/news-centre/find-a-media- release/2018-releases/18-122mr-asic-takes-action-on-misleading-or- deceptive-conduct-in-icos/ ,statement/actions
Australia (ASIC),"Media Release: ASIC acts against misleading Initial Coin Offerings and 
crypto-asset funds targeted at retail investors
",https://asic.gov.au/about- asic/news-centre/find-a-media-release/2018-releases/18-274mr-asic-acts- against-misleading-initial-coin-offerings-and-crypto-asset-funds-targeted-at- retail-investors/ ,statement/actions
Austria (FMA),ICOs,"https://www.fma.gv.at/en/cross-sectoral-topics/fintech- 
navigator/initial-coin-offerings/ 
",statement/actions
Belgium (FSMA),Communication: Initial Coin Offerings (ICOs),https://www.iosco.org/library/ico-statements/Belgium%20-%20FSMA%20- %20Initial%20Coin%20Offerings.pdf ,statement/actions
Brazil (CVM) ,Brazil (CVM) – Statement on Initial Coin Offering (ICO),https://www.iosco.org/library/ico-statements/Brazil%20-%20CVM%20- %20Statement%20on%20Initial%20Coin%20Offering%20(ICO).pdf ,statement/actions
Canada (AMF),"AMF cautions investors, issuers and sponsors -Initial cryptocurrency or token 
offerings ",https://lautorite.qc.ca/en/general-public/media-centre/news/fiche- dactualites/initial-cryptocurrency-or-token-offerings/ ,statement/actions
Canada (AMF), Initial cryptocurrency or token offering (ICO),https://lautorite.qc.ca/en/general-public/investments/bitcoin-and-other-virtual- currencies/initial-cryptocurrency-or-token-offering-ico/ ,statement/actions
"Canada (ASC)
",Cryptocurrencies,"http://www.checkfirst.ca/emerging- 
trends/cryptocurrencies-and-bitcoin-2/ 
",statement/actions
Canada (CSA),Cryptocurrency Offerings,https://www.osc.gov.on.ca/documents/en/Securities- Category4/csa_20170824_cryptocurrency-offerings.pdf ,statement/actions
Canada (CSA),Securities Law Implications for Offerings of Tokens,"https://www.securities- administrators.ca/uploadedFiles/Industry_Resources/2018juin11-46-308-avis- acvm-en.pdf 
",statement/actions
Canada (CSA),What is an ICO?,"https://www.securities- 
administrators.ca/investortools.aspx?id=1697 
",statement/actions
Dubai (DFSA),DFSA Issues General Investor Statement on Cryptocurrencies,https://www.iosco.org/library/ico-statements/Dubai%20-%20DFSA%20- %20General%20Investor%20Statement%20on%20Cryptocurrencies.pdf ,statement/actions
European Union (ESMA),ESMA alerts investors to the high risks of Initial Coin Offerings (ICOs) -,https://www.esma.europa.eu/sites/default/files/library/esma50-157-829_ico_statement_investors.pdf,statement/actions
European Union (ESMA),"ESMA alerts firms involved in Initial Coin Offerings (ICOs) to the need to
meet relevant regulatory requirements -",https://www.esma.europa.eu/sites/default/files/library/esma50-157-828_ico_statement_firms.pdf,statement/actions
European Union (ESMA),"Crypto-Assets Need Common EU-Wide Approach to Ensure Investor
Protection -",https://www.esma.europa.eu/press-news/esma-news/crypto-assets-need-common-eu-wide-approach-ensure-investor-protection,statement/actions
European Union (ESMA),Advice – Initial Coin Offerings and Crypto-Assets,https://www.esma.europa.eu/file/49978/download?token=56LqdNMN,statement/actions
