name,id,country,l1,l2,l3,latitude,longitude
Andorra (INAF),20,Andorra,,,1,42.5063,1.5218
Argentina (CNV),32,Argentina,,,1,-34.6058,-58.3708
Australia (ASIC),36,Australia,1,1,1,-35.4735,149.0124
Australian Government Treasury,36,Australia,,1,,-33.8688,151.2093
Austria (FMA),40,Austria,,1,,48.2068,16.3749
Belgium (FSMA),56,Belgium,,1,1,50.8503,4.3517
Brazil (CVM),76,Brazil,,,1,-22.9068,-43.1729
Canada (AMF),124,Canada,,,1,45.5017,-73.5673
Canada (ASC),124,Canada,,,1,43.6532,-79.3832
Canada (CSA),124,Canada,,1,1,46.8139,-71.208
Dubai (DFSA),784,United Arab Emirates,,,1,25.2048,55.2708
